stimuli,expected_value
Над дверью весит _подкова_,"эг, лаIъаI’н, аьй"
"Не трогай чайник, он _горячий_","рикIед, бикIерды, къизкъи’нды"
Мужчины носят штаны,"баьду, баду, шалвар"
_Река_ снесла мост.,"нецI, нацIур, мери, нецIы, лецI, чаьраIгъаIн"
Чтобы сесть на лошадь нужно _седло_,"аьлух, йегьаьр, такалту, папрабыр, папрабур, йегьер, папыр, хъыIрыI’бы"
Чтобы шить на палец надевают _наперсток_,"тIили’йды, уйма’х"
Дрова рубят _топором_,"балтаь, балта, йакIв, йокI"
"мяч, шар",туп
кора,"джигал, джиигал, къабых, кьабых, усуду джигал, хукад джигал, ч1икал, чикал"
бочка,"бочка, бычка, пучка, пушк1а, пычк1а, пычка, пышк1а"
летучая мышь,"?, къаркъанак, кьваркьыд хыли, кьваркьыд хьыли, магъыд?, махъыхъ, хъархъанаг"
клюв,"бук1, к1уф?, к1уф, к1ух, к1ухь, к1ыф"
борода,"мич1ир, мич1ре, мичри, мыч1ре, мыч1ри, мычре"
воск (пчелиный),"мум, мылах, мым"
"ремень, пояс","йакьайяги, йикьа1йди, ч1ил, чил"
одеяло,"адиял, адиял, юргъан, юргъан"
мозоль,"?, гъе1де1гъ, гъеди, гъеди?, гъыдигъ, ныц1, парахъур"
"кабан, боров, вепрь","дунгъуз, къабан"
тело,"беден, джан, джандахъ, чандахъ"
бутылка,"шуша, шуьше"
"граница, межа","са1ргъа1т, саргъа1т, саргъат, саргьа1т, саргьаIт, саргьат"
"лук (оружие), стрела","ейъух, еъух, каркач, яюх, яюх, каракац"
браслет,"?, лимаг?, мыгь1ыр, т1ул, т1ыбыхъ, т1ыбыхъ, т1ул, ч1ил"
кирпич,"керпич, керпыч, кырпыч"
мост,"гъа, гъа1, гъе1"
метла,"мугул, мугул, хьырыс, хьырыс"
брат,"шу, шугу"
синяк,"лышан, хылы валды, хылыны...?, хьылы...?, хьылын валды — синева, хьылыный шири, яхъ хыныхьири"
ведро,"ведре, ведро, педре"
бабочка,"бебил, деб-дебил, дебебил, кирвани, пирваъани, т1еб дебил, т1ебебил, ц1ыц1"
капуста (кочанная),"калам, калям, келем"
свеча,"гарч - лучина, шам, чирах, шам"
морковь,"абаджур, абадур"
кошка,"га1ть, гет, гыт, кет"
гусеница,"мулух, мулюх, мулюхъ, себ, ц1ыс"
крупный рогатый скот,"даварар, даварар, зер, даварар, къара мал, зебыр, малбыр, йас, зер, малбыр, карамал — азерб, карамал, малбыр"
пещера,"гуй, уби, фан, хъам, шам"
цепь,"зинджир, зинжил, зинжир, силсил, сирсил, цепь"
подбородок,"к1ат, кьац1, кьацI, чана"
"тухум, род","тухум, тухум, арха, махле, тухум, кьабила — редко, тухум, ма1хле, тухум, хъайбац1ар, тухум, цихил, тухум, цыхил - нет"
коготь,"к1ванч1, хьеб, хьебыр"
глина,"к1еддал, к1еддил, к1етал, к1еттал, къеде, кяттал, палчикь"
одежда,"валыг, валыгмар, залык"
сват,"бейды, илчи - посредник/хъуд, илчи - просит руку/къуд - после свадьбы, къуд"
петух,дадал
ключица,"гуьлькуьт карабыр, гъу1над гъа, гъу1нады гъа1, гъу1нед гъа1, гъуль, гъунад гъа1, гъунед гъа1, гъунеды гъа, хъаданеды гъа1"
цвет,"быч1 (это цветок, а не цвет), ранг"
гребень; расческа,"ра1гъ, рагъ"
медь,дзыр
труп,"джаназа, джандахъ, майит"
двоюродный брат/сестра,"?, гагайды хыных, гайды хыных, дидды шу, нинды шу, дидды шуд дух, хыди, хыди - одноюродный, чугу, шугу"
крест,"хач, хаш"
чашка,"гыр, курушк1а, мускьаб?, чашка"
долг (денежный),"бырдж, бырч"
барабан,"макьра, накьра"
утка,"къваз, къваз, уьрдег, оьрдег, урдег, уьрдег"
пыль,"руг, туз"
сказка,"ахъайид, ахъид?, ихтилат, ма1хв, махв, мехв"
семья,"кулфат, хизан, хизан?"
тесть,"гаг, зыд, къуд"
свёкор,"га1нин, га1нин, гаг, гаг, гагай, язная дид"
свёкор/тесть,"га1нин, га1нин, гаг, гаг"
войлок (из чего делают бурки),"бегиг?, дыныд ухур, лит, тараджа?, тын"
буза,"буза, буза/ха1н, ха1н, ха1нь, хинч1е, хинче, буза, хы1нь"
ноготь на пальце,"хьеб, хьебыр"
"дрова, топливо, древесина","ус, усбыр"
кулак,худ
пол,"джил, джил, кьул, к1ул, кьул, пол"
мука (пшеничная),"гъу1ль, ху1р, хы1р"
цветок,"бич1, быч1, ич, пич1"
пена (на воде),"кубук, къубухъ, кыбык, хурт"
след (ноги),"рахъ, хылид т1ум, хьаIл, хьал, хьыль"
вилка (которой кушают),"вилка, хьылан, чангал"
вилы (сена),"мысмар, хибкари, хылан, хьибк1ари, хьиккари, хьылан, хьылан, кьынгери"
пятница,"илджумид йыгъ, илджюмид йыгъ, улджум, улджумид йыгъ, улджумыд йыгъ, улджюм, улджюмюд йыгъ"
"друг, приятель","дост, юлдаш, дуст, юлдаш"
сад,"багъ, быстан"
стекло,"а1йна, а1йне, айна, гьа1йне, гьайна, гьайне, дзыр — мелкое"
клей,"гылыш, клей, клей, гылыш"
зоб (струма),"?, бугъазлум зура?, бугъма, зоб"
золото,"къизил, къызил, къызиль"
гусь,"къаз, къваз"
дедушка (обращение),"баба, бубадид, быбыдид, гагай, к1ухьды дид, к1ыхьды дид, кьасды дид, кьухды дид"
бабушка (обращение),"бабай, к1усды нин, к1ухды нин, к1ухьды нин, к1ыхьды нин, кьасды нин, кьухды нин"
виноград,т1ымыл
кузнечик,"масдыр ц1ай, ц1ай, ц1ыц1"
"охрана, охранник, караульный (?)","каравул, къаравул, къарул, къарывулар, малаяд тышин, нуьк1вар, хъаравул"
гость,"мигьман, мийман"
ружьё,"тифанг, туфанг, туханг"
заяц,"гъы1д, гъы1р, гъы1рь, гъыIр, хы1р"
пятка,"къув, кыв, кылц1ан, макьали, мыкьли, хъув, хьал, хьилды гъулад къабах"
стадо (овец),"ирхи/илхи, нехир, суьруь, хы1б, ятах"
шутка,"зарафат, масхара"
ключ,"ачар, гулег, гюлег, гюлегь"
лестница (приставная),"ма1гъа1д, магъа1д, магъа1т"
"фонарик, лампа","лампа, лампышк1а, лемпе, лемпе, чирагъ, лемпе/цирцирай/гарч - лучина, фанар, чирагъ"
свинец (из чего пули),"кургъушен, къургъушин, къургъушун"
письмо,кагъат
молния,"илдырым, хал урхара, ц1ай рапын, ц1арап1ара, ц1ый, цай рапан, цай рапара, царапара"
лев,"аслан, пеленг, там"
губа,"бук1, п1ыз, бук1быр, п1ыз"
ящерица,"?, маркьы1вакь, накьыIваIкь, ц1ак1арак, накьывакь, някьы1ва1кь, футфул, хьутхьул, ц1ак1арак"
кукуруза,"каргъаделле, каргъудали, кукуруза, къаргъадалай, къаргъадалый, къаргъудали, къаргъудели"
хозяин,"иесси, к1ухды"
лекарство,"дава, дава, дарман, дарман"
дыня,"кавым, кавын, къавум, къавун, къавым"
зеркало,"гузге, гузги, гюзге, гюзги, гюзгю"
понедельник,"?, ислеъен, итни, итнид йыгъ, сабаси гьафтыд"
деньги,"зар, танга, шегьибиыр, шийбыр, шийибыр, шийибыр, манутбыр"
ступа,"?, ... къаб, къаб, ру1ху1б, хат?"
известковый раствор,"кирадж, киредж"
тёща,"га1нин, гаIнин"
тёща/свекровь,"га1нин, ганин"
мул,къатир
гриб,"паф, пафбыр, ц1ик1вал, ц1икал, чач, чеч, чиков"
гвоздь,"масмар, мигьман, мусмар, мысмар"
затылок,"га1хъ, да1хъ, дахъ, к1ул, кьул, кьум, та1хъ"
игла,руб
сосед,"к1унши, къумши, къунши"
крапива,"магъвал, макъвал"
"цифра, число","гьа1саб?, йыгъ, йыгъ = день, к1аф, къашды, ракьам, цифра"
краска,"ранг, ранг, шир, читена, шир"
бумага,"гагъат, кагъат"
куропатка,"гъу1д, гъу1дь, гъуд, гъудь, гъуьд, гъуьдь, сывыды къат1"
тропинка,"джигъыр, джыгъы1р, джыгъыр, ра1хъ, ракь, тапыр"
горох,"гарох, к1ах, к1ах - черный, хар - зеленый, хар"
груша,хы1р
карандаш,"къалам, кьалам, кьалям"
перец (черный),"исиут, иссиут, иставут, истивут, истиут, уст1уъут"
пестик (толочь чеснок),"... к1ар, к1аб, к1ар"
свинья,"дунгуз, дунгъуз"
трубка курительная,"къалиян, къалыен, муьшт1ук, къалиян, муьштуьк1, хъалиен, хъалиян"
карман,"джиб, джибин"
яд,"авгъа, авгъу, агъу, увгъу"
картошка,"к1арт1уб, к1арт1уп, картошка, картуб, картушка, картышка"
цена,кьимет
тюрьма,"дустагъ, зулматхана, дустагъ?, тюрма"
тыква,"кабах, къабах"
радуга,"х1ала ваз, ха1ла ваз, ха1ле ваз, ха1ле ваза, ха1ле вазай, халавар"
олень,"джейран, марал, михь, михь, джейран, нахчир"
рис,"дуьгуь, дюгю"
кольцо,"?, иб, мыгъыр, т1илия, мыгъыр, т1уьбел, т1ы1па1ль, т1ыба1ъа1л"
веревка,"гьаван, гьаван, ч1ий, т1уъу, тукъ, ухв, ухур"
четки,"гай, супгъан, супгъан, супгъанбыр, таспыгъ, таспягъ, ц1алабыр"
ржавчина,"му1хъ, мы1хъ"
песок (строительный),"къум, сец1, сец1, къум, хъум"
суббота,"?, ?хамисды йыгъ (это вторник!), джавыд, субота, чебы дашид цыгъ, шевыд?"
пила,"гирдаб, дархъилак, меншер, гирдебил, гирдебил, дархъилаг, *меншер, дархилаг, кирдаб, кирдаб, дархилаг, къыздабил, меншер"
чесотка,"гар, гъугал, къар, къутур"
"шрам, рана","ич, йыхыIнь, лышан, лышан га"
школа,"махьтеб, мехьтаб, мехьтеб"
море,"дангыз, дарья, дарьягъ, дейра, дерья, дерьягъ, дерьягь"
магазин,"кап1рат1ив, тукан, магазин, дукан, тукан, туькан"
лопатка (часть тела),"балган, балганый, гварг, гушкун, йифбыр, кылсе"
серебро,"гумуш, гымыш"
череп,"?, ейне, калла, келле, кьафас, кьафас, кьул — всё вместе, кьум, шивгьит"
раб,"къул, къул, наджбар, лы1к1, лык1, лыкь, наджбар, нуькьва"
санки,"гъа1ль, гъаль, гьараби, кирхе, кирше, сиде?, хезек1"
рукав,хулук
улитка,"къачбыр гъады мулюх, мулюх, т1ибилкъад?, т1илиухъай, халгъада мулуьхъ, шакьу1дь, шункьу1д"
мыло,"сабун, сабын, сапун"
песня,"байти?, баяти, ма1кьни, магъни, макьни, маъни, няъни"
"душа, дух","йик1, йик1, ры1гъ, йикь, ру1гъ, рух, ры1гъ, рыхъ"
"звук, шум, голос","сас, сес"
суп,"рикь, рыкь, суп, чорпа, ц1ыс"
лопата,"бер, кансе, къулсе, къылсе, лопата"
очки,"а1йнабыр, ачки, айнабыр, ачки, ачкибыр, ачкибыр, айнабыр, очкибыр"
паутина,"тур, хашанк1алыед хал, хашанк1валд хал, хашанкIвалад тур, шамкайд хьал, шанк1алыд хал"
паук,"хашанк1ал, хашанк1алый, хашанк1валый, хашанкIал, хашанкал?, хашк1ар, шанк1ал"
позвоночник,"бегет1ул, гварг, гваргыд ха1, гваргыд ха1д, йикьбыр, кар"
ложка,дур
пар,"бугъ, жывын?, пар, рывыр"
отчим,"джухуд дид, джухуду дид, джухуды дид"
мачеха,"джурухуду нин, джурхуд нин, джурхуды нин, т1ибилфан, тибирха?"
солома,"на1хв, нах, нахв, нехв, хиядугъуд йен?"
сахар,"шагар, шекер, шеккер"
воскресенье,"?, базар, базарад йыгъ, вахадной, базар, вахадны, вахадныед йыгъ"
стол,"иск1ам, искам, ист1ол, иск1ам, стол, стол/искам, тев, уст1ул, уст1ул, иск1ам"
хвост,джибыр
висок,"кьалт1ан, кьалтан, кьылт1ан, кьылтан, та1хъ, ченахъ"
вор,"качах, къачах, сырыхчей, сырыхчи, убулчи/сырыхчи"
"вещь, предмет (вот эту вещь дай мне)","кар, кер"
нитка,"у1мур, ухур"
большой палец руки,"бугулды т1или, бугъылды т1или, бугылды т1или, быг1ылды т1или, быгылды т1или, к1ухды т1или, к1ыхьды т1или"
гром,"?, сес, ха1л урхарай, ха1л утхакай, хаIль утхун, халухара, ц1ай рапын"
четверг,"?, ? ""4-й день недели"", ильджиминнагъ, улджюми нагъ, улджюмид на1х, улджюмюд нагъ, хамис (азерб.), четверг"
клещ,"бакьакьай, хиц1, хы1ц, хьиц1"
тигр,"аслан, пайланг, палланг, пеленг, пелянг, перленг"
время,вахт
табак,"тамбак, тамбаку, тутун, тутун/тамбаку, туьтуьн, туьтуьн, тамбаку, туьтуьнь, тютюн"
палец ноги,"к1ылабыл, кыли, т1или, т1ыли"
"щипцы, клещи","калбатун, калбатун, къац, кельбатун, къа1ц, къа1ц1, къац, къец"
полотенце,"дасмал, десмал, десмел, тасмал"
пень,"... ус, дунк, кутук, кьат1, тунк, гъваб, тыб, усуд кьат1"
брюки,баду
вторник,"?, саласа, сылас"
репа,"къа, кьа1, кьаъ, кьаъа"
близнецы,"бейдыбыр, к1ут1хаймыр, к1ут1хуймыр, к1утхаймыр, кIутхаймар, кIутхуIймар, кетхаймыр"
"платок которым закрывают лицо невесты, фата","гьарда/парда, диваб, диван, дивах, калагъай, къалагъай, тендже, шалм?"
каманча,"каманча, каманче, кеменча/чагъана, кеменче, т1амп1ыр, тап1ыр, ча1гъа1на"
голос,"сас, сес"
"палка (пастушеская, для хождения; посох)","к1ар, т1ат1ал, х1абак1ана т1ат1ал"
стена,мас
оса,"хингул, ц1иймак1, ц1ихьил макь, цIыркIымакь, цид махъ, цырк1имак1, ч1ийидгъуба, ч1ирид гъуба"
водопад,"вода падающая место, меггел, мекел, мекке, меккел, мык, хьед абыр... вода падающая место, хьед савыд дагьар, хьед...?"
арбуз,"хъарпуз, хъарпыз"
свадьба,"дават, даватбыр"
среда,"?, арба, арба нагъ, хьибыси гьафтед"
неделя,"гьафта, гьафте, гьфта, гьяфте"
колесо,"туп, чарх"
"оселок, точило, точильный камень","дагьар, к1ичуд, рачад дагьар, уджуд, уьджуьд, ч1инк1ыды духул, чарх, яхъал"
вдова,"къайвани, хиндадый, хиндандай, хьиндадай, хьиндандай"
вдовец,"бесир, кайвани, къайвани, хиндадай, хиндандай, хьиндадай"
окно,"гъул, гъуль"
вино,чахыр
крыло (или перо),"къанат, хыли, хьыли"
древесина (материал для строительства),"ус, усбыр"
работа,"к1валах, квалах, ма1ъа1ш, маъа1ш"
червяк,"мулюх, мулюхъ"
запястье,"?, къапах, хыл, хылид хылц1ан, хылид цIум, ц1ум, ц1ун"
год,сен
хомут,"ха1ваъа1т, хамут, хамут, хы1вад, хы1ва, хы1ва1д, хы1вад, хыIв, хыIваI, хьываъад"
желток,"?, гъулгъуд араб?, гъылгъыдды рыкьды, къы1б, ракьды гъылыгъ, сары гюльмиш?, тарахъды гъылыгъ, тракъды гъылыгъ"
лодыжка,"к1арк1ати, т1у1рхъа1й, т1уйх?, т1ур, т1ы1ркь, т1ырхъи, хьылид хъалцан"
муравей,"дзы1хцар, дзыдзах, дзыдзахъ, цахцар, цыхцар, цыцах"
арка,"арка, арх, тагъ, чарх"
стрела,"ейъух, еъух, яйъух, яюх"
тётя,"буба, бубе, быба, быба?, гай, дидды рыши, нинды риши, дидды риши, рыши"
топор,балта
ушная мочка,"убрик1ед, убруд гы1, убруд кьве?, убруд як, убыр"
"серьга, сережка","убра абыр, убра хайбыр, убрабыр, убрама ад, халхад?, халхалаг"
землетрясение,"?, лык1ын, лыкьын сибилер?, мыкьы?, ч1ил сит1тир, ч1ил сит1ы, ч1ир сит1ири, ч1ирсит1ир, чил сит1ы, чир сит1ин"
яйцо,"гъулугъ, гъылыгъ"
локоть,"гюлег, гюлегь, хьал, хьыликь"
веко,"гъыбри, гъыбрибыр, к1аш, ч1амч1амай, улид капа, улид къап"
железо,"гьилаг, йилаг, йилег, йиляг, ухур"
дуб,"ма1хв, маIхв, му1хв, муха1лды хук, мяхв, у1хв?"
овёс (чем кормят лошадей),"гъаргъал, гъаргъар, гъыл, сык1ыл, хьыт1"
старик,"к1асды, к1асий, кьа1сды, кьаIсды, кьасды, кьасси"
сирота,етим
сова,"т1ыб, т1ыла"
дядя,"гагай, гыга, гыгый"
У меня осталось примерно триста (рублей).,R-CM / R-CM-si / R(-CM) sin / R-CM-sadana
У нас осталось примерно пять-шесть тысяч (рублей).,R-CM / R-CM-si / R(-CM) sin / R-CM-sadana
Они пришли _втроём_,R-CM / R-CM-si / R(-CM) sin / R-CM-sadana
_Все трое_ пришли,R-CM / R-CM-si / R(-CM) sin / R-CM-sadana
Я был в том селе _пять раз_.,R-a(-rǯiken)
Каждый брат купили по три лошади.,R(-CM)-na(ˁ) / R(-CM)-R(-CM)-na(ˁ)
1 мальчик,sa
2 девочки,q'ʷaˁ-CM
3 коровы,xibɨ-CM
4 дома,juq'u-CM
5 мальчиков,xu-CM
6 девочек,rixɨ-CM
7 коров,juǧu-CM
8 домов,mɨje-CM
9 мальчиков,juč'u-CM
10 девочек,jic'ɨ-CM
11 коров,c'ɨ-sa
12 дома,c'u-q'ʷaˁ-CM
18 мальчиков,c'ɨ-mɨje-CM
20 девочек,ɢa-CM
26 коров,*ɢa-n=na rixɨ-CM
30 домов,xib-c'ɨr
30 мальчиков,xib-c'ɨr
35 девочек,*xib-c'ɨr=na xu-CM
40 коров,jow-c'ur
50 домов,xu-c'ur
60 мальчиков,rix-c'ɨr
70 девочек,jiǧ-c'ɨr
70 коров,jiǧ-c'ɨr
77 домов,*jiǧ-c'ɨr=na juǧu-CM
80 мальчиков,mɨj-c'ɨr
90 девочек,juǯur
100 коров,weš
107 домов,*weš=na juǧu-CM
129 мальчиков,weš=na ɢa-n=na juč'u-CM
300 девочек,*xibɨ-d weš
472 коровы,*juq'u-d weš=na jiǧ-c'ɨr=na q'ʷaˁ-CM
500 домов,*xu-d weš
1840 мальчиков,*haʁzɨr=na mɨje-d weš=na jow-c'ur
3000 девочек,*xibɨ-d haʁzɨr
5906 коров,*xu-d haʁzɨr=na juč'u-d weš=na rixɨ-CM
3345876 домов,*xibɨ-d million=na xibɨ-d weš=na jow-c'ur=na xu-d haʁzɨr=na mɨje-d weš=na jiǧ-c'ɨr=na rixɨ-CM
_Второго_ сына звали Муса.,R-CM-xusdɨ / -xusdu
